genus,species,,,,,,,,,,,,,
Solanum,elaeagnifolium,,,,,,,,,,,,,
Paspalum,vaginatum,,,,,,,,,,,,,
Calyptocarpus,vialis,,,,,,,,,,,,,
Artemisia,ludoviciana,,,,,,,,,,,,,
Hymenoxys,odorata,,,,,,,,,,,,,
Boerhavia,diffusa,,,,,,,,,,,,,
Stellaria,media,,,,,,,,,,,,,
Portulaca,oleracea,,,,,,,,,,,,,
Gutierrezia,sarothrae,,,,,,,,,,,,,
Cynodon,dactylon,,,,,,,,,,,,,
Sida,Schimperiana,,,,,,,,,,,,,
Platanus,occidentalis,,,,,,,,,,,,,
Oxalis,x,,,,,,,,,,,,,
Axonopus,x,,,,,,,,,,,,,
Cynodon,dactylon,,,,,,,,,,,,,
Ulmus,crassifolia,,,,,,,,,,,,,
Stellaria,media,,,,,,,,,,,,,
Gutierrezia,sarothrae,,,,,,,,,,,,,
Dichondra,carolinensis,,,,,,,,,,,,,
Celtis,laevigata,,,,,,,,,,,,,
Cocculus,carolinus,,,,,,,,,,,,,
Ipomoea,cordatotriloba,,,,,,,,,,,,,
Vitis,mustangensis,,,,,,,,,,,,,
Ambrosia,trifida,,,,,,,,,,,,,
Rottboellia,cochinchinensis,,,,,,,,,,,,,
Calyptocarpus,vialis,,,,,,,,,,,,,
Parthenium,hysterophorus,,,,,,,,,,,,,
Ruellia,simplex,,,,,,,,,,,,,
Amaranthus,palmeri,,,,,,,,,,,,,
Cynodon,dactylon,,,,,,,,,,,,,
Calyptocarpus,vialii,,,,,,,,,,,,,
Cynodon,dactylon,,,,,,,,,,,,,
Dichondra,x,,,,,,,,,,,,,
Lagerstroemia,x,,,,,,,,,,,,,
Prosopis,x,,,,,,,,,,,,,
Quercus,virginiana,,,,,,,,,,,,,
Stellaria,media,,,,,,,,,,,,,
Taraxacum,officinale,,,,,,,,,,,,,
Trachelospermum,x,,,,,,,,,,,,,
Ulmus,crassifolia,,,,,,,,,,,,,
Cynodon ,dactyylon,,,,,,,,,,,,,
Celtis,tenuifolia,,,,,,,,,,,,,
Cynodon,dactylon,,,,,,,,,,,,,
Hibiscus,syriacus,,,,,,,,,,,,,
Justicia,spicigera,,,,,,,,,,,,,
Ligustrum,lucidum,,,,,,,,,,,,,
Mirabilis,jalapa,,,,,,,,,,,,,
Pavonia,hastata,,,,,,,,,,,,,
Prosopis,affinis,,,,,,,,,,,,,
Tradescantia,pallida,,,,,,,,,,,,,
Cynodon ,dactylon,,,,,,,,,,,,,
Quercus ,virginiana,,,,,,,,,,,,,
Agave,decipiens,,,,,,,,,,,,,
Crataegus,mollis,,,,,,,,,,,,,
Malvastrum,coromandelianum,,,,,,,,,,,,,
Platanus,occidentalis,,,,,,,,,,,,,
Trema,micrantha,,,,,,,,,,,,,
Celtis,laevigata,,,,,,,,,,,,,
Handroanthus,impetiginosus,,,,,,,,,,,,,
Nandina,domestica,,,,,,,,,,,,,
Nassella,trichotoma,,,,,,,,,,,,,
Cynodon ,dactyylon,,,,,,,,,,,,,
Celtis,laevigata,,,,,,,,,,,,,
Malvastrum,coromandelianum,,,,,,,,,,,,,
Quercus  ,virginiana,,,,,,,,,,,,,
Tradescantia,pallida,,,,,,,,,,,,,
Celtis,laevigata,,,,,,,,,,,,,
Quercus  ,buckleyi,,,,,,,,,,,,,
Lonicera ,sempervirens,,,,,,,,,,,,,
Atriplex,glauca,,,,,,,,,,,,,
Lantana,x,,,,,,,,,,,,,
Cylindropuntia,imbricata,,,,,,,,,,,,,
Quercus ,virginiana,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
