Genus,Species,Number of instances,Area size sq ft,Neighborhood ,Latitude ,Longitude,Median Income,Native vs Non native ,Eco Region,Initials,,,,
Solanum,elaeagnifolium,9,"282
",Central East Austin,30.266396,-97.721521,94929,1,1,LL,,,,
Paspalum,vaginatum,5000,"282
",Central East Austin,30.266396,-97.721521,94929,1,1,LL,,,,
Calyptocarpus,vialis,1150,"282
",Central East Austin,30.266396,-97.721521,94929,0,1,LL,,,,
Artemisia,ludoviciana,10,"282
",Central East Austin,30.266396,-97.721521,94929,0,1,LL,,,,
Hymenoxys,odorata,51,"282
",Central East Austin,30.266396,-97.721521,94929,1,1,LL,,,,
Boerhavia,diffusa,34,"282
",Central East Austin,30.266396,-97.721521,94929,1,1,LL,,,,
Stellaria,media,500,"282
",Central East Austin,30.266396,-97.721521,94929,0,1,LL,,,,
Portulaca,oleracea,1,"282
",Central East Austin,30.266396,-97.721521,94929,1,1,LL,,,,
Gutierrezia,sarothrae,13,"282
",Central East Austin,30.266396,-97.721521,94929,1,1,LL,,,,
Cynodon,dactylon,180,"282
",Central East Austin,30.266396,-97.721521,94929,0,1,LL,,,,
Sida,Schimperiana,19,"282
",Central East Austin,30.266396,-97.721521,94929,0,1,LL,,,,
Platanus,occidentalis,1,"282
",Central East Austin,30.266396,-97.721521,94929,1,1,LL,,,,
Oxalis,x,14,"282
",Central East Austin,30.266396,-97.721521,94929,0,1,LL,,,,
Axonopus,x,243,"282
",Mueller,30.296353,-97.702744,84531,1,1,LL,,,,
Cynodon,dactylon,6000,"282
",Mueller,30.296353,-97.702744,84531,0,1,LL,,,,
Ulmus,crassifolia,12,"282
",Mueller,30.296353,-97.702744,84531,1,1,LL,,,,
Stellaria,media,780,"282
",Mueller,30.296353,-97.702744,84531,0,1,LL,,,,
Gutierrezia,sarothrae,70,"282
",Mueller,30.296353,-97.702744,84531,1,1,LL,,,,
Dichondra,carolinensis,500,"282
",Mueller,30.296353,-97.702744,84531,1,1,LL,,,,
Celtis,laevigata,6,300,North Loop, 30.315940,-97.723324,103068,1,0,LL,,,,
Cocculus,carolinus,1,300,North Loop, 30.315940,-97.723324,103068,1,0,LL,,,,
Ipomoea,cordatotriloba,4,300,North Loop, 30.315940,-97.723324,103068,1,0,LL,,,,
Vitis,mustangensis,12,300,North Loop, 30.315940,-97.723324,103068,1,0,LL,,,,
Ambrosia,trifida,2,300,North Loop, 30.315940,-97.723324,103068,1,0,LL,,,,
Rottboellia,cochinchinensis,4,300,North Loop, 30.315940,-97.723324,103068,0,0,LL,,,,
Calyptocarpus,vialis,50,300,North Loop, 30.315940,-97.723324,103068,0,0,LL,,,,
